sentence,university,originalTotal,originalDegreesLength,total,degreesLength,degrees,positions,mbas
"历任中南民族大学讲师、副教授,北京大学博士后,吉林石岘纸业有限责任公司独立董事",中南民族大学,4,2,2,0,[],"[""教授"",""讲师""]",[]
"历任中南民族大学讲师、副教授,北京大学博士后,吉林石岘纸业有限责任公司独立董事",北京大学,4,2,1,1,"[""博士后""]",[],[]
"杨雄文,男,1970年出生,中国人民大学民商法学博士,牛津大学法学院访问学者",中国人民大学,2,1,1,1,"[""博士""]",[],[]
"杨雄文,男,1970年出生,中国人民大学民商法学博士,牛津大学法学院访问学者",牛津大学,2,1,1,0,[],"[""访问学者""]",[]
"董大伟先生,39岁,中国国籍,毕业于西安电子科技大学微电子学院电力电子与电力传动专业,工学硕士",西安电子科技大学,1,1,0,0,[],[],[]
"曾在LOYOLAUNIVERSITYOFCHICAGO和NEWYORKSTATEUNIVERSITY和麻省理工学院作为访问学者,曾先后任中山大学国际金融教研室主任、国际贸易金融系主任助理、国际贸易金融系主任、经济研究所副所长、所长、岭南学院副院长,广州南沙产业投资有限公司外部董事,深圳市中金岭南有色金属股份有限公司独立董事,广晟有色金属股份有限公司独立董事,汤臣倍健股份有限公司独立董事",麻省理工,2,0,1,0,[],"[""访问学者""]",[]
"曾在LOYOLAUNIVERSITYOFCHICAGO和NEWYORKSTATEUNIVERSITY和麻省理工学院作为访问学者,曾先后任中山大学国际金融教研室主任、国际贸易金融系主任助理、国际贸易金融系主任、经济研究所副所长、所长、岭南学院副院长,广州南沙产业投资有限公司外部董事,深圳市中金岭南有色金属股份有限公司独立董事,广晟有色金属股份有限公司独立董事,汤臣倍健股份有限公司独立董事",中山大学,2,0,1,0,[],"[""院长""]",[]
"王宝瑛先生,中国国籍,1964年7月出生,北京航空航天大学学士、中欧国际工商学院EMBA,研究员级高级工程师,无境外永久居留权",北京航空航天大学,3,1,2,1,"[""学士""]",[],"[""MBA""]"
"王宝瑛先生,中国国籍,1964年7月出生,北京航空航天大学学士、中欧国际工商学院EMBA,研究员级高级工程师,无境外永久居留权",中欧国际工商学院,3,1,2,1,"[""学士""]",[],"[""MBA""]"
"唐海元先生,1973年2月出生,高级工程师,合肥工业大学学士,中欧国际商学院EMBA",合肥工业大学,2,1,1,1,"[""学士""]",[],[]
"唐海元先生,1973年2月出生,高级工程师,合肥工业大学学士,中欧国际商学院EMBA",中欧国际商学院,2,1,1,0,[],[],"[""MBA""]"
"陈卓先生,1976年9月出生,会计师,武汉大学工商管理硕士,中欧工商管理学院EMBA",武汉大学,4,1,2,1,"[""硕士""]",[],"[""工商管理""]"
"陈卓先生,1976年9月出生,会计师,武汉大学工商管理硕士,中欧工商管理学院EMBA",中欧工商管理学院,4,1,3,0,[],[],"[""MBA"",""管理学"",""工商管理""]"
"白俊江先生,58岁,中国国籍,毕业于西安电子科技大学微波工程专业",西安电子科技大学,0,0,0,0,[],[],[]
"周鹏,男,1978年1月出生,哈尔滨工业大学无机非金属材料专业工学学士,英国纽卡斯尔卢桑比亚大学项目管理专业管理学硕士,中央民族大学区域经济专业经济学博士",哈尔滨工业大学,4,3,1,1,"[""学士""]",[],[]
"周鹏,男,1978年1月出生,哈尔滨工业大学无机非金属材料专业工学学士,英国纽卡斯尔卢桑比亚大学项目管理专业管理学硕士,中央民族大学区域经济专业经济学博士",中央民族大学,4,3,1,1,"[""博士""]",[],[]
