中信证券,600030,收入构成,报告日期,2020-06-30,
其中:江西省,222,-- ,222,--,0.02%

中信证券,600030,收入构成,报告日期,2011-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其中:公司本部,2192614,-- ,1414725,--,46.81%
境外,46021,-- ,-20154,--,-0.67%
其中:宁夏回族自治区,15,-- ,-43,--,-0%
其中:云南省,-0,-- ,-56,--,-0%
其中:广西省,1,-- ,-72,--,-0%
其中:安徽省,323,-- ,-855,--,-0.03%
其中:山西省,972,-- ,-121,--,-0%
其中:河南省,501,-- ,-929,--,-0.03%
其中:河北省,986,-- ,-471,--,-0.02%
其中:吉林省,6,-- ,-49,--,-0%
其中:甘肃省,-- ,-- ,0,--,0%
其中:黑龙江省,-- ,-- ,0,--,0%
其中:海南省,1,-- ,-41,--,-0%
其中:陕西省,2232,-- ,847,--,0.03%
其中:福建省,145,-- ,-773,--,-0.03%
其中:重庆市,-- ,-- ,0,--,0%
其中:天津市,6297,-- ,3813,--,0.13%
其中:四川省,2203,-- ,1030,--,0.03%
其中:辽宁省,3887,-- ,65,--,0%
其中:江西省,226,-- ,-1640,--,-0.05%
其中:湖南省,1033,-- ,103,--,0%
其中:湖北省,3719,-- ,1036,--,0.03%
其中:江苏省,15144,-- ,6893,--,0.23%
其中:广东省,15752,-- ,4770,--,0.16%
其中:山东省,62060,-- ,29898,--,0.99%
其中:浙江省,93491,-- ,39693,--,1.31%
其中:上海市,27471,-- ,10271,--,0.34%
其中:北京市,28217,-- ,13185,--,0.44%
境内,2457298,-- ,1521278,--,50.33%

中信证券,600030,收入构成,报告日期,2011-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
公司本部,568395,-- ,568395,--,78.37%
安徽省,166,-- ,166,--,0.02%
山西省,480,-- ,480,--,0.07%
河南省,198,-- ,198,--,0.03%
河北省,541,-- ,541,--,0.07%
吉林省,-- ,-- ,0,--,0%
甘肃省,-- ,-- ,0,--,0%
黑龙江省,-- ,-- ,0,--,0%
海南省,-- ,-- ,0,--,0%
陕西省,1357,-- ,1357,--,0.19%
福建省,44,-- ,44,--,0.01%
重庆市,-- ,-- ,0,--,0%
天津市,3927,-- ,3927,--,0.54%
四川省,1332,-- ,1332,--,0.18%
辽宁省,2367,-- ,2367,--,0.33%
江西省,97,-- ,97,--,0.01%
