bookValuePerShare,cashAndCashEquivalentsIncrease,cashFlowFromOperatingActivities,cashFlowFromOperatingActivitiesPerShare,currentAsset,currentLiability,earningPerShare,equity,investmentRevenue,netProfit,netProfitExclNonRecurring,operatingProfit,operatingRevenue,stockCode,totalAsset,totalLiability,type,year
null,-143537,65958,null,506203,466553,0.34,405567,8211,32363,3678,41441,2592210,603056.SH,907798,502231,indicators,2019
null,1222,6348,null,72318,9209,0.34,102888,3453,14124,11449,16530,47045,603058.SH,117487,9453,indicators,2019
null,-2548,16118,null,68346,20242,1.09,97223,1798,10937,10023,13212,80599,603059.SH,119235,22012,indicators,2019
null,888,20246,null,80610,33802,0.68,125744,1624,20835,16151,26230,110728,603060.SH,187775,44527,indicators,2019
null,-19459,10417,null,340557,146653,0.16,247379,47,6634,-6185,9302,178626,603063.SH,424391,167541,indicators,2019
null,5445,-322,null,122572,45093,0.26,97612,996,7813,6490,9032,70114,603066.SH,145730,47846,indicators,2019
null,-4567,20093,null,82104,12417,0.32,133760,116,13697,13018,15556,139522,603067.SH,148451,14415,indicators,2019
null,65904,2515,null,151457,33051,1.98,126217,902,25237,23983,27672,117462,603068.SH,159830,33613,indicators,2019
null,-5614,14789,null,60592,74752,0.16,114401,525,5073,1944,7843,104071,603069.SH,206356,89010,indicators,2019
null,-765,17159,null,166423,120204,-0.33,75453,1140,-2481,-3722,-1795,75377,603076.SH,196774,121116,indicators,2019
null,-73710,16292,null,349175,278495,0.06,1123347,-123,51685,51695,58266,596910,603077.SH,1448406,303106,indicators,2019
null,8532,4424,null,60442,33701,0.32,79027,null,3452,3155,3564,49043,603078.SH,134983,56015,indicators,2019
null,2712,5855,null,72045,37153,0.42,88381,-64,4703,3917,5068,51915,603079.SH,153259,62088,indicators,2019
null,-18773,15167,null,48683,31876,0.62,113720,-2152,8703,12022,10586,57371,603080.SH,164019,50299,indicators,2019
null,-153,35972,null,329243,169457,0.59,202235,1158,23620,21270,27369,214075,603081.SH,433533,228624,indicators,2019
null,10655,15939,null,169704,155478,0.13,118306,null,2175,-639,2025,297375,603083.SH,289450,171143,indicators,2019
null,-4463,2538,null,95059,126852,-0.92,71683,140,-26836,-27865,-30599,145614,603085.SH,231357,159664,indicators,2019
null,12037,39956,null,141251,58843,1.83,155718,-786,20462,21259,24195,157457,603086.SH,230415,74697,indicators,2019
15.16,-1315,115761,3.21,311010,45822,3.23,547096,4616,116728,110465,139791,289506,603087.SH,602668,55588,indicators,2019
null,2382,4293,null,56145,25684,0.4,54745,14,6275,5080,7501,37757,603088.SH,82646,27170,indicators,2019
null,-6315,13077,null,72179,53464,0.48,82191,45,7448,6619,12167,110887,603089.SH,155422,58731,indicators,2019
null,4314,2613,null,43688,23332,0.31,50154,120,3103,2959,3641,49076,603090.SH,75060,23932,indicators,2019
null,69703,34967,null,null,null,0.15,242732,15959,7949,6521,11580,953753,603093.SH,1405030,1160972,indicators,2019
10.43,9403,19377,1.96,112571,51435,1.74,103219,864,17272,15018,19210,101768,603095.SH,156156,52937,indicators,2019
null,-11006,23832,null,195668,15633,1.78,190851,3371,24028,19403,32388,92532,603096.SH,209395,15651,indicators,2019
null,58815,36802,null,406536,200736,0.44,206841,969,21254,19825,24822,335656,603098.SH,470881,264040,indicators,2019
null,6082,12350,null,33476,12609,0.28,108204,14,7526,7347,10183,46720,603099.SH,131569,23365,indicators,2019
null,31716,62404,null,373287,242105,0.59,242085,7777,23431,14980,26564,396889,603100.SH,508345,264208,indicators,2019
null,-13015,43385,null,74532,216057,0.09,138008,-296,2777,1534,4833,440326,603101.SH,381069,243062,indicators,2019
null,6378,58063,null,162902,84173,0.49,238728,3050,30951,22530,36753,281359,603103.SH,345033,106305,indicators,2019
null,861,21952,null,61221,57753,0.08,145139,121,4212,1021,3497,38710,603105.SH,265729,120590,indicators,2019
null,-10976,5494,null,228580,72765,-0.1,159771,4800,-3894,-10937,-5393,101637,603106.SH,266682,106911,indicators,2019
null,22439,24668,null,563692,521414,0.53,275840,13112,30951,30471,67684,705195,603108.SH,903285,551646,indicators,2019
null,66524,15346,null,149537,41825,1.01,125243,12,11122,9705,13010,127063,603109.SH,184119,58876,indicators,2019
null,36,11702,null,55159,10690,0.37,65221,438,5253,4595,6114,41272,603110.SH,76188,10967,indicators,2019
null,24544,40644,null,405627,201854,0.65,253935,38659,65036,25920,74218,339822,603111.SH,469180,205984,indicators,2019
null,-67280,48725,null,388252,130531,1.13,589391,5492,76233,63988,86140,814992,603113.SH,866293,276901,indicators,2019
null,7261,9224,null,123962,26500,0.69,127013,359,12041,10092,13547,109749,603115.SH,159950,31196,indicators,2019
null,4778,14737,null,347558,119925,0.22,343774,4339,13065,6284,15518,296962,603116.SH,464686,120102,indicators,2019
null,-6141,-81854,null,412022,348187,0.12,225868,774,7345,5315,12204,94141,603117.SH,617500,368742,indicators,2019
null,24189,94447,null,524714,355145,0.4,444256,1166,31083,28060,31948,784085,603118.SH,826249,380354,indicators,2019
null,8506,8223,null,90421,29805,0.46,110741,1207,9768,7751,10492,63072,603121.SH,140685,29939,indicators,2019
null,-18395,23617,null,199152,158352,0.34,324636,7709,17620,11150,23553,493625,603123.SH,539980,215244,indicators,2019
null,11797,12141,null,279420,171782,0.2,174757,-1384,12310,5947,13143,227312,603126.SH,385201,184613,indicators,2019
null,2827,14809,null,64066,48282,1.11,82652,1323,17837,15477,20614,63938,603127.SH,141784,59057,indicators,2019
null,-3814,28183,null,397153,196933,0.35,411515,587,35128,34598,46796,1025246,603128.SH,640828,223100,indicators,2019
null,12911,42356,null,183519,142139,1.37,104032,-124,18106,16004,17504,324223,603129.SH,253749,146534,indicators,2019
null,10807,6989,null,91658,31208,0.3,122350,67,9523,8469,10011,90748,603131.SH,161860,38475,indicators,2019
null,4434,3065,null,74070,61849,-0.19,89059,659,-4091,-4974,-6501,54840,603133.SH,176472,84792,indicators,2019
null,7513,22508,null,31766,23909,1.07,90330,141,12371,12145,18933,50317,603136.SH,123591,24484,indicators,2019
null,-2597,3116,null,62345,15853,0.28,48942,502,5876,5457,6943,55129,603138.SH,68997,20237,indicators,2019
null,4552,10753,null,81924,10556,0.43,97824,923,4276,3438,5667,43142,603139.SH,113068,11385,indicators,2019
null,-309273,167145,null,1258032,259053,2.56,1241346,46377,269530,223952,335075,745929,603156.SH,1511024,269677,indicators,2019
null,-26945,157649,null,323046,487656,-3.91,128711,7918,-213909,-221010,-223175,766623,603157.SH,814094,696809,indicators,2019
null,-1034,10694,null,140720,110017,0.57,106062,117,12196,11613,14807,103354,603158.SH,245316,118794,indicators,2019
null,875,8403,null,31795,13041,0.19,43128,null,2279,1877,2431,56409,603159.SH,57002,13874,indicators,2019
null,292611,288003,null,649123,138072,5.17,643942,9280,231736,218900,252382,647325,603160.SH,784878,140936,indicators,2019
null,-7837,34673,null,159746,154700,0.62,128748,-16,8243,6159,9317,162335,603161.SH,339058,210310,indicators,2019
null,43858,42582,null,124710,18383,1.4,146304,1046,24917,23423,27127,167550,603165.SH,193773,47469,indicators,2019
null,-5271,34749,null,124579,87633,0.24,215927,-119,14224,9637,15373,151477,603166.SH,321078,105151,indicators,2019
null,10859,56676,null,150239,80155,0.87,339538,1067,41030,25984,57616,166288,603167.SH,534922,179447,indicators,2019
null,7832,5947,null,92983,9598,0.02,148904,1578,786,-3870,-1138,51596,603168.SH,158932,10028,indicators,2019
null,-3608,72136,null,768963,871085,0.05,183404,647,5639,1149,9258,343782,603169.SH,1117316,915075,indicators,2019
null,-3663,1445,null,112323,79892,0.03,53425,-157,625,306,327,77714,603177.SH,136358,82653,indicators,2019
null,-1481,17071,null,76149,114525,-1.04,62117,3463,-20961,-22957,-21823,122066,603178.SH,192642,129684,indicators,2019
null,-11444,-4937,null,316678,250569,0.8,170210,null,18323,16919,19744,303564,603179.SH,480939,307687,indicators,2019
null,27100,40213,null,152846,110277,3.66,121091,1199,24250,19775,27358,212544,603180.SH,267616,146229,indicators,2019
null,4051,9846,null,107926,27220,0.92,159508,364,25616,22843,29394,189410,603181.SH,231633,72125,indicators,2019
null,-10696,6976,null,72241,35849,0.46,98663,276,8080,7350,9532,61136,603183.SH,136286,36473,indicators,2019
null,-70443,-21166,null,160650,103706,1.05,170753,2474,18531,15484,21452,80620,603185.SH,276255,105502,indicators,2019
null,-1520,12534,null,138999,147410,0.79,74274,-95,10214,8877,10590,202586,603186.SH,241114,165842,indicators,2019
null,2344,19220,null,173339,76956,1.95,146350,937,21884,20346,24949,153563,603187.SH,224013,77416,indicators,2019
null,1827,-2586,null,122627,115701,-0.35,295633,1869,-19907,-21223,-30104,142086,603188.SH,431628,130273,indicators,2019
null,-7107,3467,null,69928,14674,0.16,81457,532,3440,2251,3258,29810,603189.SH,97778,16321,indicators,2019
null,-18128,8940,null,138343,49847,1.24,120786,445,13216,12140,15226,143998,603192.SH,170895,50108,indicators,2019
null,50170,229733,null,564145,182965,4.27,555130,10618,230372,222357,276875,1004044,603195.SH,741656,186526,indicators,2019
null,2050,11549,null,71898,20706,0.04,92253,257,881,-219,-486,111439,603196.SH,113856,23975,indicators,2019
null,-18995,20102,null,227378,141264,1.06,103856,-16,17422,15538,26249,332096,603197.SH,373965,245965,indicators,2019
null,12828,92484,null,493757,211718,1.16,474774,7462,93045,87512,126510,377698,603198.SH,696884,220444,indicators,2019
null,10346,22448,null,53579,21903,1.06,120038,958,11702,10701,15734,53722,603199.SH,144150,24112,indicators,2019
null,3342,4635,null,88529,26533,0.4,77348,210,4065,6358,4172,58361,603200.SH,107448,26714,indicators,2019
null,6274,17471,null,99844,14907,1.11,99176,2150,17373,14733,20118,46088,603203.SH,115576,16399,indicators,2019
null,-4358,32367,null,178885,123265,3.23,131201,-2043,26129,22889,30995,202663,603208.SH,286198,147152,indicators,2019
3.63,8390,15461,0.43,188716,92951,0.53,130816,-18,19027,18535,22145,213549,603212.SH,223876,93195,indicators,2019
null,5560,12910,null,138281,57742,1.1,101369,849,15425,12474,22848,246037,603214.SH,165541,57872,indicators,2019
null,2679,7832,null,167893,32919,1.71,215569,1599,13629,11719,17342,116734,603217.SH,250222,34654,indicators,2019
null,144896,84742,null,493790,192165,0.97,354198,906,50454,49047,57867,348583,603218.SH,658764,304468,indicators,2019
null,-6916,11539,null,273638,156087,0.45,161586,1739,15249,13805,17576,183174,603220.SH,321843,156556,indicators,2019
3.94,-2669,19780,1.1,58552,25327,0.79,70983,-869,14203,13475,16022,114579,603221.SH,97290,26306,indicators,2019
null,677,15277,null,69499,65502,0.22,87209,1193,6920,-367,9072,77128,603222.SH,208449,101168,indicators,2019
null,142,4691,null,64788,49671,0.01,102957,1183,257,-1814,1921,703635,603223.SH,160941,51267,indicators,2019
null,7918,182454,null,606211,707142,1.13,1166024,1057,135469,124829,158696,3414821,603225.SH,2290054,1124029,indicators,2019
null,45259,10090,null,80192,21303,0.76,92055,1856,11277,9626,12879,79660,603226.SH,113940,21885,indicators,2019
null,-15379,5217,null,170712,139165,0.15,126412,152,9520,7953,18398,213470,603227.SH,344480,188092,indicators,2019
null,-289,87359,null,545625,303015,1.41,542491,2204,83709,77014,92703,633212,603228.SH,882003,319140,indicators,2019
null,5066,8773,null,60163,23215,0.35,64519,238,5639,4822,6111,30791,603229.SH,88614,24096,indicators,2019
null,4053,8234,null,69151,18874,0.58,66373,1335,7008,4971,6604,37054,603232.SH,85516,19054,indicators,2019
null,46931,170777,null,546804,400284,1.34,423990,1632,70266,69013,91826,1114117,603233.SH,867193,434022,indicators,2019
null,33911,-14395,null,255800,121725,1.94,171472,233,14800,13484,14540,412975,603236.SH,293197,121725,indicators,2019
null,-6670,21772,null,60198,56252,0.69,89094,181,8253,7655,12322,109802,603238.SH,160871,58082,indicators,2019
null,-1888,12144,null,76009,19183,0.36,99681,440,9739,8802,11336,64248,603239.SH,119696,20015,indicators,2019
null,-2666,17493,null,106336,43634,0.13,142540,397,10424,9765,11478,66267,603256.SH,189542,47002,indicators,2019
null,-52641,31242,null,160325,57481,0.95,190617,2637,22812,18222,25593,69675,603258.SH,250965,58072,indicators,2019
null,-53440,291603,null,1266303,663439,1.14,1731226,4755,185455,191428,234092,1287221,603259.SH,2923913,1182942,indicators,2019
null,-18970,136881,null,440817,730836,1.18,849811,-640,110635,97739,128944,893879,603260.SH,1738708,878515,indicators,2019
null,509,8518,null,84151,24994,0.33,91072,742,6511,5441,7240,91900,603266.SH,117410,26138,indicators,2019
null,6525,17509,null,207472,23070,1.88,207988,null,27867,25185,33295,105446,603267.SH,235963,27975,indicators,2019
null,-2484,7876,null,46485,42969,0.23,64479,373,2841,2711,4854,58037,603268.SH,122092,50431,indicators,2019
null,-6078,-2288,null,120613,80368,0.53,68978,429,4850,3017,6328,61094,603269.SH,154819,85136,indicators,2019
null,-1721,20907,null,180907,52841,0.74,203420,6703,29735,23763,35395,172553,603277.SH,261450,58030,indicators,2019
null,2476,19662,null,224027,181775,0.53,170435,245,15224,11133,17189,273000,603278.SH,406184,235749,indicators,2019
null,39893,44389,null,360297,197774,1.1,267235,2,41308,40116,50559,331086,603279.SH,467719,200485,indicators,2019
null,13835,14983,null,115466,86837,0.74,101179,228,12242,10928,13567,120551,603283.SH,208993,105904,indicators,2019
null,2743,5315,null,40057,24120,0.3,45490,181,2680,1937,3093,49870,603286.SH,80671,33787,indicators,2019
null,400897,656757,null,2026937,797844,1.98,1658196,5969,535319,508388,637944,1979689,603288.SH,2475389,815618,indicators,2019
null,3596,9421,null,112699,37319,0.43,102911,253,11483,10479,13402,80350,603289.SH,140542,37631,indicators,2019
null,1303,8833,null,56064,20256,1.13,55967,30,13528,11988,14486,77944,603290.SH,86049,30413,indicators,2019
null,28805,13195,null,86030,12249,1.27,112873,2415,13905,11415,15970,57304,603297.SH,126600,13727,indicators,2019
null,-5195,91489,null,336312,152973,1.04,431108,12820,64460,54295,81795,885411,603298.SH,627938,159518,indicators,2019
null,1215,67083,null,275261,275899,0.34,396647,0,26125,17660,32582,419039,603299.SH,706589,296213,indicators,2019
null,-1262,81286,null,122416,233637,0.43,175711,-230,27569,22715,47397,115387,603300.SH,518183,314313,indicators,2019
null,31119,19776,null,159450,79831,1.12,135879,-404,15689,10600,20033,186773,603301.SH,266924,126957,indicators,2019
null,-14138,30443,null,319204,145205,0.64,265554,3569,30974,24968,30488,424364,603303.SH,411662,145211,indicators,2019
null,-1963,48582,null,88298,49564,0.52,155268,432,20659,19591,24074,109720,603305.SH,249693,94425,indicators,2019
null,74343,32551,null,192802,22035,0.76,240431,3536,23679,19984,27742,98572,603306.SH,267508,27077,indicators,2019
null,-113417,43692,null,262028,227367,0.3,359623,92,13068,8416,11646,186047,603308.SH,744895,327361,indicators,2019
null,2204,17879,null,42042,23108,0.61,102761,1228,12114,9675,14685,99381,603309.SH,145574,41935,indicators,2019
null,4046,8814,null,78819,37961,0.38,82072,544,8011,7069,9422,64883,603311.SH,121040,38968,indicators,2019
null,-23393,12979,null,260834,201850,1.18,233407,-2316,37368,36129,49600,383159,603313.SH,461978,221594,indicators,2019
null,7063,5172,null,149083,60713,0.37,131926,0,11404,5758,11960,83558,603315.SH,196614,64832,indicators,2019
null,23624,-12341,null,133353,79265,0.16,86259,704,3153,2513,3424,90692,603316.SH,206267,118414,indicators,2019
null,32140,37796,null,174167,29268,0.74,184192,2871,29697,26017,33372,172733,603317.SH,214231,30040,indicators,2019
null,-14828,7085,null,68750,42098,-0.3,90458,-321,-12011,-12201,-12684,32361,603318.SH,164964,74506,indicators,2019
null,3574,18056,null,96408,82265,0.9,80228,-304,9312,7707,10812,100163,603319.SH,180531,99231,indicators,2019
null,29262,6776,null,72688,18200,0.41,68894,94,4102,3757,4738,69159,603320.SH,108406,39314,indicators,2019
null,-5517,10245,null,106202,54493,0.13,105766,1676,3959,2596,4940,73696,603321.SH,161542,55776,indicators,2019
null,-3051,3900,null,184655,142881,-0.68,38130,0,-9334,-10007,-7386,126692,603322.SH,223335,161186,indicators,2019
6.38,-67274,378787,null,null,null,0.51,1151225,45999,91323,90326,100252,352084,603323.SH,12595532,11433048,indicators,2019
null,-4075,8614,null,76284,52753,0.69,95163,504,15401,13273,19213,133203,603326.SH,155890,60727,indicators,2019
null,13214,22352,null,104930,32736,0.69,127220,238,26304,25515,30517,129946,603327.SH,160438,33218,indicators,2019
null,-29670,78928,null,331623,81127,0.52,356641,21,51849,49729,61725,301071,603328.SH,439415,82773,indicators,2019
null,6316,17184,null,71639,40780,-0.75,59957,719,-9881,-10656,-12388,175537,603329.SH,109848,40780,indicators,2019
null,-5230,4580,null,53150,37280,0.16,60929,162,1699,2134,3333,65907,603330.SH,107286,45738,indicators,2019
null,10023,3493,null,73287,54923,0.59,76218,12,7472,6533,8950,85210,603331.SH,150327,66390,indicators,2019
null,28550,30407,null,129143,20981,1.44,137194,1131,16776,14106,18530,162366,603332.SH,158231,21037,indicators,2019
null,12938,5345,null,217815,130731,0.2,153176,-349,10367,8609,10464,203355,603333.SH,293925,139944,indicators,2019
null,11049,10607,null,61212,23942,0.02,56429,-153,908,1107,1994,81691,603335.SH,85041,24103,indicators,2019
null,-9495,2528,null,70345,20267,0.35,87344,32,7898,7648,8036,85196,603336.SH,108281,20832,indicators,2019
null,12199,25139,null,238109,120888,0.68,265707,2694,30144,27857,35662,360806,603337.SH,417667,145365,indicators,2019
null,19442,69616,null,338882,144956,2,320749,4835,69408,65783,80472,238936,603338.SH,485945,165196,indicators,2019
null,30178,36910,null,163938,69644,0.62,174540,-1256,12947,12919,14525,117530,603339.SH,246495,71955,indicators,2019
null,-2194,57657,null,333140,274489,1.67,274366,1195,37334,33529,46805,526666,603345.SH,568455,294089,indicators,2019
null,39922,23475,null,190728,80642,0.32,226791,409,7103,5991,7738,153771,603348.SH,393118,166328,indicators,2019
null,14334,12969,null,82330,19898,1.39,124122,495,12811,12716,15716,88076,603351.SH,145827,21706,indicators,2019
6.82,7788,14572,1.46,37692,33060,1.62,68227,8,16174,16123,21597,194015,603353.SH,101781,33060,indicators,2019
null,72240,120799,null,401315,196594,1.25,319898,-13,50227,48005,56493,570322,603355.SH,537683,217785,indicators,2019
null,-1666,-5332,null,84297,46145,0.52,73288,423,6902,6602,8509,144261,603356.SH,127644,51311,indicators,2019
null,-25509,5159,null,293984,102263,0.71,234629,1742,32479,30611,37934,161910,603357.SH,338498,103324,indicators,2019
null,2197,42065,null,270745,181659,0.5,265224,1444,15586,14867,19695,417753,603358.SH,464038,185546,indicators,2019
null,-17649,-7769,null,498699,296746,1.13,292629,-301,36151,36239,43953,201669,603359.SH,596923,296746,indicators,2019
null,16864,24007,null,52180,10625,1.64,103347,337,30680,29763,36754,87190,603360.SH,118930,15583,indicators,2019
null,7075,39416,null,151426,338222,0.07,82804,-694,2916,1922,7807,578808,603363.SH,492167,363809,indicators,2019
null,7718,23540,null,214820,52573,1.19,228504,1693,31554,28025,34955,300199,603365.SH,282913,54409,indicators,2019
null,38470,37338,null,257867,289774,0.1,318981,6657,8258,2150,9686,336610,603366.SH,628325,304176,indicators,2019
null,1757,18126,null,378246,88554,1.14,457256,5221,51458,47597,58271,411279,603367.SH,553375,95997,indicators,2019
null,73164,41291,null,1009429,687273,2.66,437278,1729,68543,67132,89659,1485683,603368.SH,1195821,730069,indicators,2019
null,-29160,130739,null,649099,277772,1.16,720627,17316,145810,143853,195144,486987,603369.SH,1006229,285603,indicators,2019
null,899,47768,null,139106,172970,0.42,176413,4124,24429,13681,26043,111419,603377.SH,446051,230788,indicators,2019
null,-2717,42692,null,211279,151055,0.59,136601,1042,11418,8018,12686,242499,603378.SH,318030,181429,indicators,2019
null,90714,65978,null,418678,37245,1.53,495255,3457,64591,58736,82241,393460,603379.SH,535794,40196,indicators,2019
null,1564,16321,null,89375,30686,0.79,85581,1263,12716,10869,14639,102748,603380.SH,117603,31714,indicators,2019
null,24055,12094,null,120163,19797,1.07,112686,1651,12719,10696,13739,33989,603383.SH,133163,19829,indicators,2019
null,-3893,22677,null,283959,106139,0.89,338538,5761,32905,27332,41984,321023,603385.SH,477077,122089,indicators,2019
null,7423,4550,null,110955,151758,0.17,101182,17,3463,1943,3032,147218,603386.SH,271085,169780,indicators,2019
null,51424,22573,null,156685,31688,1.31,162497,2409,33967,29491,39891,96820,603387.SH,200764,32598,indicators,2019
null,-11162,-5819,null,195863,162368,0.48,103723,99,13655,11126,15638,100789,603388.SH,293772,186391,indicators,2019
null,-10538,-2052,null,41284,14714,-0.47,65501,711,-12452,-12535,-13349,37236,603389.SH,82516,17918,indicators,2019
null,3686,17005,null,167330,35764,0.53,172399,1176,14375,14024,15821,78440,603390.SH,214111,38670,indicators,2019
4,6935,27268,0.7,88566,49203,0.54,155882,1368,20886,16511,21833,118375,603392.SH,216492,58419,indicators,2019
null,36775,120022,null,332931,100193,1.89,253005,52,42243,42146,105843,229627,603393.SH,853860,284813,indicators,2019
null,-6223,-8703,null,150551,78931,0.57,92650,-104,6014,5751,8398,86202,603396.SH,174045,79033,indicators,2019
null,2997,6412,null,38296,21550,0.26,74021,null,7587,7049,8931,53714,603398.SH,104005,29984,indicators,2019
null,12502,50557,null,231553,109768,-0.41,215661,2,-22561,-24178,-24366,285492,603399.SH,332969,116194,indicators,2019
3.72,505,45928,1.14,169930,99918,0.83,149419,-263,33397,30183,38202,339303,603408.SH,250402,100983,indicators,2019
null,3618,12701,null,112466,24096,1.16,120224,2871,16345,13598,18671,64964,603416.SH,146269,25968,indicators,2019
null,18020,9191,null,220248,72002,0.35,301680,1227,16195,15371,18455,181026,603421.SH,374939,73259,indicators,2019
null,40591,21735,null,88246,38060,0.79,117384,64,20169,16004,23546,67150,603429.SH,159931,40413,indicators,2019
1.78,10819,11624,0.32,55211,6618,0.36,65110,59,13308,13177,15460,88378,603439.SH,73081,7972,indicators,2019
null,29340,129705,null,245336,80317,11.28,307099,3115,80919,75195,123026,217037,603444.SH,436881,93370,indicators,2019
null,-20,55416,null,201834,119202,0.3,285463,-2301,23779,22772,28544,201682,603456.SH,467028,181192,indicators,2019
null,-1962,-30853,null,437402,238739,2.38,262746,-246,43036,40179,50859,256331,603458.SH,595263,331576,indicators,2019
null,11274,25277,null,334482,207005,0.91,166962,2286,26221,24674,29683,202992,603466.SH,374060,207055,indicators,2019
null,-3526,5494,null,98488,54377,0.16,85225,null,3951,3863,4523,55556,603477.SH,142391,54605,indicators,2019
null,-5600,26159,null,316612,183240,0.22,247629,-197,12071,10084,14097,531219,603486.SH,433209,184671,indicators,2019
null,-13815,6928,null,84439,11082,0.41,88711,1720,8639,6889,10147,37174,603488.SH,99843,11132,indicators,2019
null,47154,26852,null,220528,30383,3.5,198272,610,32385,31529,37518,119665,603489.SH,228655,30383,indicators,2019
null,-8308,1561,null,75231,15869,0.34,80135,276,6734,6086,6504,43411,603496.SH,96342,16447,indicators,2019
null,3879,4538,null,30030,14252,0.1,53735,null,1481,771,484,32516,603499.SH,68563,14706,indicators,2019
null,6641,3973,null,69520,6210,0.5,89583,766,8867,7500,9841,33552,603500.SH,96007,6424,indicators,2019
null,19537,80534,null,1088067,760552,0.76,792639,78,46563,33420,78511,1363167,603501.SH,1747622,952085,indicators,2019
null,15146,29276,null,52431,58957,0.93,100036,-127,22246,21867,30142,80884,603505.SH,183031,81546,indicators,2019
null,-6404,19269,null,123668,87572,0.85,72188,2365,11393,8246,17511,124447,603506.SH,161045,87684,indicators,2019
null,-53527,-13294,null,158991,157934,0.3,140242,72,3743,3954,5262,178609,603507.SH,335579,190833,indicators,2019
null,1676,54043,null,208063,54197,4.12,437037,58246,78934,19420,82545,90233,603508.SH,497299,55602,indicators,2019
null,-19562,111343,null,627678,306383,1.18,501553,18090,89032,67177,102129,835486,603515.SH,810740,309094,indicators,2019
null,23232,1255,null,61773,10590,0.87,83262,1112,11422,10264,12379,37125,603516.SH,94103,10821,indicators,2019
null,89923,102781,null,247095,88064,1.38,456720,4899,80120,76129,100594,517196,603517.SH,546267,89734,indicators,2019
null,-45757,23118,null,249256,295324,0.43,258958,null,10887,10475,13078,291302,603518.SH,694491,407781,indicators,2019
null,-1272,25630,null,93909,47537,0.6,73175,78,13220,13201,15178,128427,603519.SH,120944,47769,indicators,2019
null,18568,24677,null,123050,159314,1.01,99580,302,17033,16833,23032,130884,603520.SH,348484,245613,indicators,2019
null,-9689,2258,null,89636,27241,0.53,92523,-9,9277,8682,10540,322365,603527.SH,121125,28602,indicators,2019
null,7299,10251,null,163848,49130,0.25,159956,1242,15341,13586,17841,69788,603528.SH,215841,52283,indicators,2019
null,19698,12136,null,84255,22353,0.34,107532,139,12725,11686,14812,62874,603530.SH,135913,28381,indicators,2019
null,40235,30880,null,153790,65471,0.4,124068,3767,16100,14035,16352,188235,603533.SH,191166,65698,indicators,2019
null,15378,19502,null,112250,45467,0.85,159623,1853,12787,14633,14085,119421,603535.SH,207882,47657,indicators,2019
null,-2034,10557,null,56037,49890,0.04,64453,-1,595,412,600,120981,603536.SH,122460,57504,indicators,2019
null,-7002,17975,null,113640,87640,1.04,136414,682,15090,14028,18973,118021,603538.SH,261397,104545,indicators,2019
null,9687,29597,null,117322,59548,0.74,118826,793,26763,23769,30671,164982,603551.SH,185494,62370,indicators,2019
null,-1281,-53600,null,192639,341669,-1.62,48924,1435,-101811,-103920,-99302,158148,603555.SH,393034,342711,indicators,2019
null,-42458,49429,null,530556,111436,1.03,522499,8356,50047,38024,57543,295417,603556.SH,678584,155229,indicators,2019
null,1113,-339,null,188948,76452,0.3,167466,1012,14253,11433,16040,152340,603557.SH,257436,90042,indicators,2019
null,-6319,35087,null,118000,70470,0.68,304872,-256,27331,23023,30236,178037,603558.SH,376264,71363,indicators,2019
null,8153,8156,null,135154,84026,0.12,87940,-38,1690,1632,1992,71425,603559.SH,181873,94262,indicators,2019
null,-15498,14010,null,91175,21407,0.34,165804,472,10925,6367,10688,66319,603566.SH,190546,24742,indicators,2019
null,28898,22092,null,576566,240249,0.48,524226,-97,40865,34135,54735,329186,603567.SH,901862,376848,indicators,2019
null,-41355,86787,null,175163,61285,1.04,421036,189,97445,95203,110291,203811,603568.SH,691453,268039,indicators,2019
null,11747,55549,null,378491,243104,0.18,265160,395,10126,7760,11151,478537,603569.SH,616714,334502,indicators,2019
null,5129,-1027,null,187116,110013,0.32,124170,-60,5903,5714,6280,161832,603577.SH,248796,123328,indicators,2019
null,19036,24532,null,71565,14069,0.7,63323,564,6160,5106,6907,34003,603578.SH,93154,29831,indicators,2019
null,-21008,44647,null,173432,76807,2.13,162899,817,29559,24694,32691,231391,603579.SH,246137,82995,indicators,2019
null,-4027,2991,null,35039,3292,0.27,41890,163,3555,2751,3896,19350,603580.SH,46288,3610,indicators,2019
null,51474,22200,null,158100,39468,1.61,176751,1725,28360,24986,32592,140777,603583.SH,217326,40574,indicators,2019
null,-1019,48633,null,184312,30779,1.68,196014,862,30319,29571,48593,181261,603585.SH,285425,31701,indicators,2019
null,-32693,26377,null,170942,43768,1,218587,2234,20313,17525,24877,162208,603586.SH,280725,61903,indicators,2019
null,9357,72514,null,318398,59063,1.56,330921,2634,62437,56749,80172,237842,603587.SH,392458,61385,indicators,2019
null,16513,78668,null,447888,395488,0.62,312994,7793,41202,39257,56599,507539,603588.SH,1145517,779457,indicators,2019
null,30154,129702,null,688784,236452,2.87,701175,5977,172021,165265,227791,467209,603589.SH,950133,248957,indicators,2019
null,-12169,26200,null,209837,33010,1.66,272800,891,26608,23461,29951,106592,603590.SH,317384,44584,indicators,2019
null,6826,2562,null,88298,66045,-0.73,106088,49,-14844,-15866,-15564,66079,603595.SH,188502,82414,indicators,2019
null,59031,75768,null,324702,160177,0.98,224473,458,40151,35314,52932,315661,603596.SH,432684,186523,indicators,2019
null,15145,20956,null,124325,99230,-0.78,34878,212,-21099,-23757,-19865,299980,603598.SH,161718,126860,indicators,2019
